=========================================================================================================
  EXE-260906-P3-02-T5-c Task 2: T5-b Dynamic Picking Miss Analysis Ledger (59 Misses)
=========================================================================================================
Total Dynamic Misses Analyzed: 59 / 150
Classification Summary:
  (i)   bbox 진입 전 정적 히트 (폐색): 15 건
  (ii)  bbox 통과 후 정적 히트 (관통): 44 건 (L1/R1 중공 구조 및 스플랫 틈새)
  (iii) 무히트 (Zero-hit):             0 건
  합계:                                59 건 (전수 분류 완료, 100%)
---------------------------------------------------------------------------------------------------------
No | Idx | View | Expected | Screen [X,Y] | BBox Entry | Hit Dist | Hit Part | Hits | Dist Diff | Near 5cm | Category
---|-----|------|----------|--------------|------------|----------|----------|------|-----------|----------|---------
 1 |   3 | V1   | box_l1   | [ 161, 520] | 3.1802m    | 3.2392m | static   |    8 | +0.0590m  |       16 | 관통(BBox내부/후방)
 2 |   7 | V1   | box_l1   | [ 136, 570] | 3.0573m    | 3.1484m | static   |    7 | +0.0911m  |        5 | 관통(BBox내부/후방)
 3 |   8 | V1   | box_l1   | [ 229, 655] | 3.0204m    | 3.8453m | static   |    6 | +0.8249m  |        6 | 관통(BBox내부/후방)
 4 |  10 | V1   | box_l1   | [ 137, 525] | 3.1490m    | 3.0958m | static   |    6 | -0.0532m  |        0 | 폐색(전방장애)
 5 |  16 | V1   | box_l1   | [ 134, 457] | Miss       | 3.0546m | static   |    8 |      -    |        0 | 폐색(BBox외곽)
 6 |  17 | V1   | box_l1   | [ 203, 499] | 3.4709m    | 3.5190m | static   |    8 | +0.0481m  |        9 | 관통(BBox내부/후방)
 7 |  19 | V1   | box_l1   | [ 408, 483] | Miss       | 5.7034m | static   |    5 |      -    |        0 | 폐색(BBox외곽)
 8 |  21 | V1   | box_l1   | [ 101, 608] | Miss       | 5.7181m | static   |    1 |      -    |        0 | 폐색(BBox외곽)
 9 |  25 | V1   | box_l1   | [ 231, 651] | 3.0106m    | 3.8584m | static   |    4 | +0.8478m  |       10 | 관통(BBox내부/후방)
10 |  29 | V1   | box_r1   | [1049, 637] | 3.1138m    | 3.7547m | static   |    5 | +0.6409m  |       47 | 관통(BBox내부/후방)
11 |  36 | V1   | box_r1   | [1120, 516] | 3.3109m    | 3.1039m | static   |    8 | -0.2070m  |        0 | 폐색(전방장애)
12 |  41 | V1   | box_r1   | [1129, 552] | 3.1347m    | 3.1076m | static   |   14 | -0.0271m  |        0 | 폐색(전방장애)
13 |  48 | V1   | box_r1   | [1040, 577] | 3.0070m    | 3.8238m | static   |    4 | +0.8168m  |       34 | 관통(BBox내부/후방)
14 |  77 | V2   | box_l1   | [ 582, 394] | 2.4053m    | 2.5377m | static   |    8 | +0.1324m  |       28 | 관통(BBox내부/후방)
15 |  78 | V2   | box_l1   | [ 730, 504] | 2.4006m    | 2.4122m | static   |    3 | +0.0116m  |        3 | 관통(BBox내부/후방)
16 |  80 | V2   | box_l1   | [ 581, 379] | 2.3787m    | 2.4866m | static   |    6 | +0.1079m  |       26 | 관통(BBox내부/후방)
17 |  82 | V2   | box_l1   | [ 645, 239] | 2.7073m    | 3.1940m | static   |   10 | +0.4867m  |        8 | 관통(BBox내부/후방)
18 |  84 | V2   | box_l1   | [ 881, 341] | 2.8176m    | 4.0069m | static   |    1 | +1.1893m  |        0 | 관통(BBox내부/후방)
19 |  85 | V2   | box_l1   | [ 583, 470] | 2.5808m    | 2.5808m | static   |    5 | +0.0000m  |        1 | 관통(BBox내부/후방)
20 |  86 | V2   | box_l1   | [ 566, 280] | 2.2637m    | 2.3264m | static   |    3 | +0.0627m  |        7 | 관통(BBox내부/후방)
21 |  87 | V2   | box_l1   | [ 610, 476] | 2.5363m    | 2.8204m | static   |    1 | +0.2841m  |        3 | 관통(BBox내부/후방)
22 |  88 | V2   | box_l1   | [ 573, 314] | 2.2915m    | 2.3757m | static   |    6 | +0.0842m  |        7 | 관통(BBox내부/후방)
23 |  90 | V2   | box_l1   | [ 806, 415] | 2.1374m    | 3.1102m | static   |    2 | +0.9728m  |        6 | 관통(BBox내부/후방)
24 |  91 | V2   | box_l1   | [ 767, 290] | 2.0159m    | 5.1569m | static   |    3 | +3.1410m  |        0 | 관통(BBox내부/후방)
25 |  92 | V2   | box_l1   | [ 661, 488] | 2.4678m    | 2.5108m | static   |    1 | +0.0430m  |        2 | 관통(BBox내부/후방)
